SPAC19G12.05	mce1	
SPAC19G12.06c	hta2	
SPAC19G12.07c	rsd1	
SPAC19G12.08	scs7	
SPAC19G12.09		
SPAC19G12.10c	cpy1	pcy1
SPAC19G12.11	coq9	
SPAC19G12.12	dlp1	
SPAC19G12.13c	poz1	
SPAC19G12.14	its3	mss4
SPAC19G12.15c	tpp1	
SPAC19G12.16c	adg2	SPAC23A1.01c,mug46
SPAC19G12.17	erh1	new10,iss6
SPAC1A6.01c		SPAC23C4.20c
SPAC1A6.02	wdr55	SPAC23C4.21
SPAC1A6.03c	plb3	
SPAC1A6.04c	plb1	
SPAC1A6.05c	ptl3	
SPAC1A6.06c	meu31	
SPAC1A6.07	sle1	seg1
SPAC1A6.08c	mug125	
SPAC1A6.09c	lag1	
SPAC1A6.10	tcd1	SPAC30D11.15c
SPAC1A6.11		
SPAC1B1.01	deb1	rdp1
SPAC1B1.02c		
SPAC1B1.03c	kap95	
SPAC1B1.04c	pan3	
SPAC1B2.02c	ugo1	
SPAC1B2.03c	elo2	elo1
SPAC1B2.04	cox6	
SPAC1B2.05	mcm5	nda4,SPAC3F10.01
SPAC1B2.06		
SPAC1B3.01c		
SPAC1B3.02c		
SPAC1B3.03c	wis2	cyp5
SPAC1B3.04c	guf1	
SPAC1B3.05	not3	
SPAC1B3.06c		
SPAC1B3.07c	vps28	
SPAC1B3.08		
SPAC1B3.09c	noc202	noc2
SPAC1B3.10c		
SPAC1B3.11c	ypt4	
SPAC1B3.12c	rpb10	
SPAC1B3.13	nan1	utp17
SPAC1B3.14	vma3	
SPAC1B3.15c		
SPAC1B3.16c	vht1	
SPAC1B3.17	clr2	
SPAC1B3.18c	mrps18	
SPAC1B3.20		
SPAC1B3.21	coa3	tam3
SPAC1B9.02c	sck1	
SPAC1B9.03c		SPAC6B12.01
SPAC1D4.01	tls1	SPAC1F3.11
SPAC1D4.02c	grh1	
SPAC1D4.03c	aut12	
SPAC1D4.04	cct2	
SPAC1D4.05c	erd101	
SPAC1D4.06c	csk1	
SPAC1D4.08	pis1	
SPAC1D4.09c	rtf2	
SPAC1D4.10	trz1	sptrz1
SPAC1D4.11c	lkh1	kic1
SPAC1D4.12	rad15	rhp3,rad5
SPAC1D4.13	byr1	ste1,ste3
SPAC1D4.14	tho2	SPAC22F3.14c
SPAC1F12.02c	tma19	p23fy,tpt1
SPAC1F12.04c		
SPAC1F12.05	any2	
SPAC1F12.06c		
SPAC1F12.07	ser1	
SPAC1F12.08	cab4	
SPAC1F12.09	gpi17	
SPAC1F12.10c		SPAC1F12.10
SPAC1F3.01	rrp6	SPAC3H8.11
SPAC1F3.02c	mkh1	
SPAC1F3.03	sro7	
SPAC1F3.04c	tsr3	
SPAC1F3.05	gga21	
SPAC1F3.06c	spo15	
SPAC1F3.07c	rsc58	
SPAC1F3.08c		
SPAC1F3.09	mug161	
SPAC1F3.10c	oct1	
SPAC1F5.02	pdi1	
SPAC1F5.03c		
SPAC1F5.04c	cdc12	
SPAC1F5.05c	mso1	
SPAC1F5.06	lsh1	
SPAC1F5.07c	hem14	
SPAC1F5.08c	yam8	ehs1
SPAC1F5.09c	shk2	pak2
SPAC1F5.10	fal1	
SPAC1F5.11c	tra2	
SPAC1F7.01c	spt6	SPAC694.07c
SPAC1F7.02c	has1	
SPAC1F7.03	pkd2	
SPAC1F7.04	rho1	
SPAC1F7.05	cdc22	
SPAC1F7.06	hsp3105	
SPAC1F7.07c	fip1	
SPAC1F7.08	fio1	
SPAC1F7.09c	dal2	ala1
SPAC1F7.10		
SPAC1F7.11c		
SPAC1F7.12	yak3	yakC,SPAC21E11.01
SPAC1F7.13c	rpl801	rpl8-1,rpl18,rpk5a,rpl2-1,SPAC21E11.02c,rpk5
SPAC1F7.14c	tam6	
SPAC1F8.01	ght3	
SPAC1F8.02c	shu1	
SPAC1F8.03c	str3	
SPAC1F8.04c		
SPAC1F8.05	isp3	meu4,p23,23K
SPAC1F8.06	pfl8	fta5
SPAC1F8.07c	pdc101	
SPAC1F8.08		
SPAC20G4.01	caf16	SPAC22F8.13
SPAC20G4.02c	fus1	
SPAC20G4.03c	hri1	
SPAC20G4.04c	hus1	
SPAC20G4.05c	fmp40	
SPAC20G4.06c	adf1	cof1
SPAC20G4.07c	erg4	sts1
SPAC20G4.08	pdc1	SPAC4F10.01
SPAC20G4.09		
